Export, ADVAPI32.dll
Ordinal	Address	Name
00000002	77DDEA0F	A_SHAFinal
00000003	77DDEB03	A_SHAInit
00000004	77DDE9A7	A_SHAUpdate
00000005	77E2A571	AbortSystemShutdownA
00000006	77E2A519	AbortSystemShutdownW
00000007	77DD6170	AccessCheck
00000008	77E09639	AccessCheckAndAuditAlarmA
00000009	77DDA3A6	AccessCheckAndAuditAlarmW
0000000A	77DE810B	AccessCheckByType
0000000B	77E09718	AccessCheckByTypeAndAuditAlarmA
0000000C	77E0943C	AccessCheckByTypeAndAuditAlarmW
0000000D	77E0937B	AccessCheckByTypeResultList
0000000E	77E09806	AccessCheckByTypeResultListAndAuditAlarmA
0000000F	77E098F4	AccessCheckByTypeResultListAndAuditAlarmByHandleA
00000010	77E0958B	AccessCheckByTypeResultListAndAuditAlarmByHandleW
00000011	77E094E0	AccessCheckByTypeResultListAndAuditAlarmW
00000012	77DD6078	AddAccessAllowedAce
00000013	77DDAD23	AddAccessAllowedAceEx
00000014	77E09B6F	AddAccessAllowedObjectAce
00000015	77DDBBFB	AddAccessDeniedAce
00000016	77E09AB7	AddAccessDeniedAceEx
00000017	77E09BB6	AddAccessDeniedObjectAce
00000018	77DD9DEB	AddAce
00000019	77E09AF8	AddAuditAccessAce
0000001A	77E09B28	AddAuditAccessAceEx
0000001B	77E09BFD	AddAuditAccessObjectAce
0000001C	77E0E85C	AddUsersToEncryptedFile
0000001D	77E0940C	AdjustTokenGroups
0000001E	77DDA595	AdjustTokenPrivileges
0000001F	77DD60A2	AllocateAndInitializeSid
00000020	77DD6158	AllocateLocallyUniqueId
00000021	77DF603A	AreAllAccessesGranted
00000022	77DD6004	AreAnyAccessesGranted
00000023	77E090D2	BackupEventLogA
00000024	77E08E11	BackupEventLogW
00000025	77E1A6E4	BuildExplicitAccessWithNameA
00000026	77E1A6E4	BuildExplicitAccessWithNameW
00000027	77E1A70D	BuildImpersonateExplicitAccessWithNameA
00000028	77E1A70D	BuildImpersonateExplicitAccessWithNameW
00000029	77E1A836	BuildImpersonateTrusteeA
0000002A	77E1A836	BuildImpersonateTrusteeW
0000002B	77E1A22F	BuildSecurityDescriptorA
0000002C	77E19FE7	BuildSecurityDescriptorW
0000002D	77E1A817	BuildTrusteeWithNameA
0000002E	77E1A817	BuildTrusteeWithNameW
0000002F	77E1A8E9	BuildTrusteeWithObjectsAndNameA
00000030	77E1A8E9	BuildTrusteeWithObjectsAndNameW
00000031	77E1A865	BuildTrusteeWithObjectsAndSidA
00000032	77E1A865	BuildTrusteeWithObjectsAndSidW
00000033	77E1A84A	BuildTrusteeWithSidA
00000034	77E1A84A	BuildTrusteeWithSidW
00000035	77E1B8C9	CancelOverlappedAccess
00000036	77E2BE75	ChangeServiceConfig2A
00000037	77E2BEE0	ChangeServiceConfig2W
00000038	77E2BC20	ChangeServiceConfigA
00000039	77E2BD97	ChangeServiceConfigW
