Export, KERNEL32.dll
Ordinal	Address	Name
00000001	77E72ADA	ActivateActCtx
00000002	77E682C2	AddAtomA
00000003	77E6D39F	AddAtomW
00000004	77EC5B2D	AddConsoleAliasA
00000005	77EC5AF6	AddConsoleAliasW
00000006	77EB2A10	AddLocalAlternateComputerNameA
00000007	77EB28FB	AddLocalAlternateComputerNameW
00000008	77EC0FFA	AddRefActCtx
00000009	77E887FC	AddVectoredExceptionHandler
0000000A	77EC6036	AllocConsole
0000000B	77EB6A36	AllocateUserPhysicalPages
0000000C	77E6460A	AreFileApisANSI
0000000D	77E9A305	AssignProcessToJobObject
0000000E	77EC61E1	AttachConsole
0000000F	77EB0BF1	BackupRead
00000010	77EAFD9C	BackupSeek
00000011	77EB11D4	BackupWrite
00000012	77E7CF25	BaseCheckAppcompatCache
00000013	77EC1349	BaseCleanupAppcompatCache
00000014	77EC13C6	BaseCleanupAppcompatCacheSupport
00000015	77EC12A2	BaseDumpAppcompatCache
00000016	77EC123F	BaseFlushAppcompatCache
00000017	77E7D071	BaseInitAppcompatCache
00000018	77E9618C	BaseInitAppcompatCacheSupport
00000019	77E7CA5F	BaseProcessInitPostImport
0000001A	77E68795	BaseUpdateAppcompatCache
0000001B	77E62D7A	Beep
0000001C	77EC4FCE	BeginUpdateResourceA
0000001D	77EC4E82	BeginUpdateResourceW
0000001E	77E96C14	BindIoCompletionCallback
0000001F	77EC08AE	BuildCommDCBA
00000020	77EC0888	BuildCommDCBAndTimeoutsA
00000021	77EC08D9	BuildCommDCBAndTimeoutsW
00000022	77EC092C	BuildCommDCBW
00000023	77EB7A07	CallNamedPipeA
00000024	77EB7856	CallNamedPipeW
00000025	77EB83FC	CancelDeviceWakeupRequest
00000026	77E98CFF	CancelIo
00000027	77EBA103	CancelTimerQueueTimer
00000028	77E96E29	CancelWaitableTimer
00000029	77E6DB09	ChangeTimerQueueTimer
0000002A	77EBCFE1	ClearCommBreak
0000002B	77EBBAC8	ClearCommError
0000002C	77E800CD	CloseConsoleHandle
0000002D	77E77963	CloseHandle
0000002E	77E96C75	CloseProfileUserMapping
0000002F	77E9815E	CmdBatNotification
00000030	77EBCC32	CommConfigDialogA
