Export, SHELL32.dll
Ordinal	Address	Name
00000067	774BD586	Activate_RunDLL
00000068	774C3DE5	AppCompat_RunDLLW
00000069	774ABA8B	CheckEscapesA
0000006A	774AB9EA	CheckEscapesW
0000006B	77433952	CommandLineToArgvW
0000006C	774A4A98	Control_FillCache_RunDLL
0000006D	774A4A98	Control_FillCache_RunDLLA
0000006E	774A4B80	Control_FillCache_RunDLLW
0000006F	774A49A3	Control_RunDLL
00000070	774A49A3	Control_RunDLLA
00000071	774A49DE	Control_RunDLLAsUserW
00000072	77439DD1	Control_RunDLLW
00000073	773F5AB3	DllCanUnloadNow
00000074	773FA375	DllGetClassObject
00000075	773FE448	DllGetVersion
00000077	774D4630	DllInstall
0000007B	773F249E	DllRegisterServer
0000007C	773F249E	DllUnregisterServer
00000084	774A5B85	DoEnvironmentSubstA
00000086	774343AC	DoEnvironmentSubstW
00000089	77415241	DragAcceptFiles
0000008A	774A8ACE	DragFinish
0000008B	774A8AB2	DragQueryFile
0000008C	774A8AB2	DragQueryFileA
0000008D	7740FB44	DragQueryFileAorW
0000008E	7740FB28	DragQueryFileW
0000008F	774A8A5D	DragQueryPoint
00000095	7742BE45	DuplicateIcon
000000C6	774A5AEB	ExtractAssociatedIconA
000000CD	774A58F4	ExtractAssociatedIconExA
000000CE	774A5796	ExtractAssociatedIconExW
000000CF	774A5991	ExtractAssociatedIconW
000000D7	7742AB7F	ExtractIconA
000000D8	774A5167	ExtractIconEx
000000D9	774A5167	ExtractIconExA
000000DA	774152AF	ExtractIconExW
000000DB	774A5731	ExtractIconResInfoA
000000DC	774A533E	ExtractIconResInfoW
000000DD	7742AB3E	ExtractIconW
000000DE	7741B4D6	ExtractVersionResource16W
000000DF	774347A1	FindExeDlgProc
000000E0	77429580	FindExecutableA
000000E1	774295F3	FindExecutableW
000000E2	774A52E6	FreeIconList
000000E3	774C9290	InternalExtractIconListA
000000E4	774A59E8	InternalExtractIconListW
0000002B	774BC887	OpenAs_RunDLL
00000050	774BC887	OpenAs_RunDLLA
00000064	774BC917	OpenAs_RunDLLW
000000ED	77553B70	Options_RunDLL
000000FE	77553B70	Options_RunDLLA
00000103	77553B92	Options_RunDLLW
00000104	774A8783	PrintersGetCommand_RunDLL
00000105	774A8783	PrintersGetCommand_RunDLLA
00000106	774A87EB	PrintersGetCommand_RunDLLW
00000107	774D79A1	RealShellExecuteA
00000108	774D785D	RealShellExecuteExA
00000109	774D78FF	RealShellExecuteExW
0000010A	774D79CD	RealShellExecuteW
0000010B	774AD7C0	RegenerateUserEnvironment
0000010C	7742379C	SHAddToRecentDocs
0000010D	7742B2FA	SHAppBarMessage
0000010E	773F5AAE	SHBindToParent
0000010F	774E3824	SHBrowseForFolder
00000110	774E3824	SHBrowseForFolderA
00000111	774E3731	SHBrowseForFolderW
00000112	773F97B0	SHChangeNotify
00000113	774DC085	SHChangeNotifySuspendResume
00000114	7743F59D	SHCreateDirectoryExA
00000115	7743F52F	SHCreateDirectoryExW
00000116	77464B1D	SHCreateLocalServerRunDll
00000117	774E4D11	SHCreateProcessAsUserW
00000118	7743772C	SHCreateQueryCancelAutoPlayMoniker
00000119	7745DD62	SHCreateShellItem
0000011A	774A0526	SHEmptyRecycleBinA
0000011B	774A04C3	SHEmptyRecycleBinW
0000011C	774E0D5C	SHEnableServiceObject
0000011D	774C06AD	SHEnumerateUnreadMailAccountsW
0000011E	773FDF7D	SHExtractIconsW
0000011F	7746135F	SHFileOperation
00000120	7746135F	SHFileOperationA
00000121	774614A4	SHFileOperationW
00000122	774C31EE	SHFormatDrive
00000123	77462939	SHFreeNameMappings
00000124	774763EC	SHGetDataFromIDListA
00000125	77423C48	SHGetDataFromIDListW
00000126	773F36A2	SHGetDesktopFolder
00000127	7745FC01	SHGetDiskFreeSpaceA
00000128	7745FC01	SHGetDiskFreeSpaceExA
00000129	773F2698	SHGetDiskFreeSpaceExW
0000012A	77422FDC	SHGetFileInfo
0000012B	77422FDC	SHGetFileInfoA
0000012C	77422E63	SHGetFileInfoW
0000012D	773F6F17	SHGetFolderLocation
0000012E	77414CDC	SHGetFolderPathA
0000012F	774DAEBD	SHGetFolderPathAndSubDirA
00000130	774DAE1A	SHGetFolderPathAndSubDirW
00000131	773F56A6	SHGetFolderPathW
00000132	774ED3C5	SHGetIconOverlayIndexA
00000133	774ED319	SHGetIconOverlayIndexW
00000134	7742D215	SHGetInstanceExplorer
00000135	77423391	SHGetMalloc
00000136	774DFDD2	SHGetNewLinkInfo
000000B2	774DFDD2	SHGetNewLinkInfoA
000000B3	774256B2	SHGetNewLinkInfoW
00000137	77423EAE	SHGetPathFromIDList
00000138	77423EAE	SHGetPathFromIDListA
00000139	773F89A7	SHGetPathFromIDListW
0000013A	774296E2	SHGetSettings
0000013B	773F6FB6	SHGetSpecialFolderLocation
0000013C	774DADF3	SHGetSpecialFolderPathA
0000013D	773FC05C	SHGetSpecialFolderPathW
0000013E	774C0745	SHGetUnreadMailCountW
0000013F	774A5DA4	SHHelpShortcuts_RunDLL
00000140	774A5DA4	SHHelpShortcuts_RunDLLA
00000141	774A5DF4	SHHelpShortcuts_RunDLLW
00000142	774A8685	SHInvokePrinterCommandA
00000143	774A8657	SHInvokePrinterCommandW
00000144	774C00F0	SHIsFileAvailableOffline
00000145	774E0D4E	SHLoadInProc
00000146	774EFDB8	SHLoadNonloadedIconOverlayIdentifiers
00000147	774E00D5	SHOpenFolderAndSelectItems
00000148	773F4FDC	SHParseDisplayName
00000149	774C1AC6	SHPathPrepareForWriteA
0000014A	77433E0B	SHPathPrepareForWriteW
0000014B	774A024F	SHQueryRecycleBinA
0000014C	774A01CB	SHQueryRecycleBinW
0000014D	7740E2FA	SHSetLocalizedName
0000014E	774C0935	SHSetUnreadMailCountW
0000014F	7740C308	SHUpdateRecycleBinIcon
00000150	774AC1E1	SheChangeDirA
00000151	774AC483	SheChangeDirExA
00000152	774AC21F	SheChangeDirExW
00000153	774AC05E	SheChangeDirW
00000154	774BB346	SheConvertPathW
00000155	774AC51C	SheFullPathA
00000156	774AC5C7	SheFullPathW
00000157	774AC4C1	SheGetCurDrive
00000158	774AC010	SheGetDirA
00000159	774AC678	SheGetDirExW
0000015A	774ABF8F	SheGetDirW
0000015B	774ABF1F	SheGetPathOffsetW
0000015C	774BAEE6	SheRemoveQuotesA
0000015D	774BAEB4	SheRemoveQuotesW
0000015E	774AC4E2	SheSetCurDrive
0000015F	774BB3F9	SheShortenPathA
00000160	774BAF10	SheShortenPathW
00000161	7749E413	ShellAboutA
00000162	7749E3DB	ShellAboutW
00000163	774E488B	ShellExec_RunDLL
00000164	774E488B	ShellExec_RunDLLA
00000165	774E48CD	ShellExec_RunDLLW
