Export, USER32.dll
Ordinal	Address	Name
00000001	77D4BFAB	ActivateKeyboardLayout
00000002	77D5E49A	AdjustWindowRect
00000003	77D4B1B0	AdjustWindowRectEx
00000004	77D783BE	AlignRects
00000005	77D8E3F4	AllowForegroundActivation
00000006	77D4DCFA	AllowSetForegroundWindow
00000007	77D7973C	AnimateWindow
00000008	77D98237	AnyPopup
00000009	77D5DD3A	AppendMenuA
0000000A	77D52926	AppendMenuW
0000000B	77D8E1FD	ArrangeIconicWindows
0000000C	77D5D3A9	AttachThreadInput
0000000D	77D4A394	BeginDeferWindowPos
0000000E	77D458EE	BeginPaint
0000000F	77D9935A	BlockInput
00000010	77D5BC4D	BringWindowToTop
00000011	77D98BFE	BroadcastSystemMessage
00000012	77D98BFE	BroadcastSystemMessageA
00000013	77D98BDE	BroadcastSystemMessageExA
00000014	77D8E487	BroadcastSystemMessageExW
00000015	77D5678D	BroadcastSystemMessageW
00000016	77D9702E	BuildReasonArray
00000017	77D498B8	CalcMenuBar
00000018	77D7A178	CallMsgFilter
00000019	77D7A178	CallMsgFilterA
0000001A	77D484BC	CallMsgFilterW
0000001B	77D5C405	CallNextHookEx
0000001C	77D5BA26	CallWindowProcA
0000001D	77D4741F	CallWindowProcW
0000001E	77D8E20B	CascadeChildWindows
0000001F	77D94ECD	CascadeWindows
00000020	77D5E50D	ChangeClipboardChain
00000021	77D98E9A	ChangeDisplaySettingsA
00000022	77D7BD33	ChangeDisplaySettingsExA
00000023	77D78377	ChangeDisplaySettingsExW
00000024	77D7841E	ChangeDisplaySettingsW
00000025	77D6B9EA	ChangeMenuA
00000026	77D94F03	ChangeMenuW
00000027	77D4CBFF	CharLowerA
00000028	77D4CC39	CharLowerBuffA
00000029	77D47381	CharLowerBuffW
0000002A	77D47349	CharLowerW
0000002B	77D472EC	CharNextA
0000002C	77D97E9F	CharNextExA
0000002D	77D4A216	CharNextW
0000002E	77D47322	CharPrevA
0000002F	77D97ECA	CharPrevExA
00000030	77D4BB1D	CharPrevW
00000031	77D44D61	CharToOemA
00000032	77D6E0D7	CharToOemBuffA
00000033	77D961CF	CharToOemBuffW
00000034	77D56B27	CharToOemW
00000035	77D44B08	CharUpperA
00000036	77D44D9B	CharUpperBuffA
00000037	77D44CD0	CharUpperBuffW
00000038	77D446E0	CharUpperW
00000039	77D4FF4A	CheckDlgButton
0000003A	77D5C98C	CheckMenuItem
0000003B	77D6ED60	CheckMenuRadioItem
0000003C	77D6511C	CheckRadioButton
0000003D	77D70FEF	ChildWindowFromPoint
0000003E	77D64D4E	ChildWindowFromPointEx
0000003F	77D8D86A	CliImmSetHotKey
00000040	77D44B82	ClientThreadSetup
00000041	77D48E32	ClientToScreen
00000042	77D75114	ClipCursor
00000043	77D5E303	CloseClipboard
00000044	77D4B807	CloseDesktop
00000045	77D7BEB0	CloseWindow
00000046	77D4DCEB	CloseWindowStation
00000047	77D6EFF2	CopyAcceleratorTableA
00000048	77D5EB5B	CopyAcceleratorTableW
00000049	77D4E474	CopyIcon
0000004A	77D4A060	CopyImage
0000004B	77D474AD	CopyRect
0000004C	77D5E530	CountClipboardFormats
0000004D	77D734D7	CreateAcceleratorTableA
0000004E	77D50D7E	CreateAcceleratorTableW
0000004F	77D47FDF	CreateCaret
00000050	77D72C81	CreateCursor
00000051	77D8E10E	CreateDesktopA
00000052	77D55C90	CreateDesktopW
00000053	77D5FA3E	CreateDialogIndirectParamA
00000054	77D50C57	CreateDialogIndirectParamAorW
00000055	77D68FBC	CreateDialogIndirectParamW
00000056	77D5E69D	CreateDialogParamA
00000057	77D54B0E	CreateDialogParamW
00000058	77D70EA0	CreateIcon
00000059	77D8E87A	CreateIconFromResource
0000005A	77D53095	CreateIconFromResourceEx
0000005B	77D4E2D8	CreateIconIndirect
0000005C	77D69104	CreateMDIWindowA
0000005D	77D691EE	CreateMDIWindowW
0000005E	77D5C22F	CreateMenu
0000005F	77D49B9C	CreatePopupMenu
00000060	77D6B5A2	CreateSystemThreads
00000061	77D414D4	CreateWindowExA
00000062	77D4AE4C	CreateWindowExW
00000063	77D8E3FC	CreateWindowStationA
00000064	77D55AEF	CreateWindowStationW
00000065	77D9019A	CsrBroadcastSystemMessageExW
00000066	77D54BCC	CtxInitUser32
00000067	77D98B12	DdeAbandonTransaction
00000068	77D7843C	DdeAccessData
00000069	77D931D4	DdeAddData
0000006A	77D7B2AE	DdeClientTransaction
0000006B	77D754AE	DdeCmpStringHandles
0000006C	77D7AD12	DdeConnect
0000006D	77D8EE78	DdeConnectList
0000006E	77D77B99	DdeCreateDataHandle
0000006F	77D6B4F5	DdeCreateStringHandleA
00000070	77D53FD2	DdeCreateStringHandleW
00000071	77D7B235	DdeDisconnect
00000072	77D8EDDC	DdeDisconnectList
00000073	77D6B5E7	DdeEnableCallback
00000074	77D784D6	DdeFreeDataHandle
00000075	77D6C248	DdeFreeStringHandle
00000076	77D79069	DdeGetData
00000077	77D9049D	DdeGetLastError
00000078	77D704B8	DdeGetQualityOfService
00000079	77D904D4	DdeImpersonateClient
0000007A	77D6B510	DdeInitializeA
0000007B	77D5400D	DdeInitializeW
0000007C	77D6B957	DdeKeepStringHandle
0000007D	77D53918	DdeNameService
0000007E	77D988B3	DdePostAdvise
0000007F	77D79132	DdeQueryConvInfo
00000080	77D8EAC8	DdeQueryNextServer
00000081	77D7A7AC	DdeQueryStringA
00000082	77D77CBE	DdeQueryStringW
00000083	77D8EC94	DdeReconnect
00000084	77D7AC47	DdeSetQualityOfService
00000085	77D98ABE	DdeSetUserHandle
00000086	77D7849E	DdeUnaccessData
00000087	77D6C2B4	DdeUninitialize
00000088	77D5F3DA	DefDlgProcA
00000089	77D489FF	DefDlgProcW
0000008A	77D5ED29	DefFrameProcA
0000008B	77D5EE7B	DefFrameProcW
0000008C	77D5F240	DefMDIChildProcA
0000008D	77D5EEBC	DefMDIChildProcW
0000008E	77D8E75E	DefRawInputProc
0000008F	77D46F5B	DefWindowProcA
00000090	77D45A4D	DefWindowProcW
00000091	77D4A3CA	DeferWindowPos
00000092	77D49B7E	DeleteMenu
00000093	77D75677	DeregisterShellHookWindow
00000094	77D5EAFE	DestroyAcceleratorTable
00000095	77D48000	DestroyCaret
00000096	77D499A7	DestroyCursor
00000097	77D499A7	DestroyIcon
00000098	77D49B8D	DestroyMenu
00000099	77D97109	DestroyReasons
0000009A	77D49A11	DestroyWindow
0000009B	77D90108	DeviceEventWorker
0000009C	77D6B406	DialogBoxIndirectParamA
0000009D	77D4F593	DialogBoxIndirectParamAorW
0000009E	77D64C0D	DialogBoxIndirectParamW
0000009F	77D650B3	DialogBoxParamA
000000A0	77D529CE	DialogBoxParamW
000000A1	77D7BDD9	DisableProcessWindowsGhosting
000000A2	77D441F2	DispatchMessageA
000000A3	77D43DC5	DispatchMessageW
000000A4	77D8FFC8	DisplayExitWindowsWarnings
000000A5	77D940CD	DlgDirListA
000000A6	77D8E9BF	DlgDirListComboBoxA
000000A7	77D8EA45	DlgDirListComboBoxW
000000A8	77D94154	DlgDirListW
000000A9	77D8EA6F	DlgDirSelectComboBoxExA
000000AA	77D8E970	DlgDirSelectComboBoxExW
000000AB	77D942B2	DlgDirSelectExA
000000AC	77D94311	DlgDirSelectExW
000000AD	77D99378	DragDetect
000000AE	77D99387	DragObject
000000AF	77D99396	DrawAnimatedRects
000000B0	77D7334D	DrawCaption
