Export, WININET.dll
Ordinal	Address	Name
00000006	7622006D	CommitUrlCacheEntryA
00000007	762286D6	CommitUrlCacheEntryW
0000000D	7624046C	CreateMD5SSOHash
0000000E	76229BFA	CreateUrlCacheContainerA
0000000F	7625C45B	CreateUrlCacheContainerW
00000013	762284B8	CreateUrlCacheEntryA
00000018	76228572	CreateUrlCacheEntryW
00000019	7625C8D1	CreateUrlCacheGroup
0000001A	7625D568	DeleteIE3Cache
0000001B	7625B9AE	DeleteUrlCacheContainerA
0000001C	7625C614	DeleteUrlCacheContainerW
0000001D	7622897D	DeleteUrlCacheEntry
0000001E	7622897D	DeleteUrlCacheEntryA
0000001F	762288E6	DeleteUrlCacheEntryW
00000020	7625C915	DeleteUrlCacheGroup
00000021	76266827	DetectAutoProxyUrl
00000022	7623D76E	DllInstall
00000023	7622000C	FindCloseUrlCache
00000024	7622018F	FindFirstUrlCacheContainerA
00000025	7625C6AF	FindFirstUrlCacheContainerW
00000026	7620FB39	FindFirstUrlCacheEntryA
00000027	7625BA5B	FindFirstUrlCacheEntryExA
00000028	7622958E	FindFirstUrlCacheEntryExW
00000029	7622956C	FindFirstUrlCacheEntryW
0000002A	7625C955	FindFirstUrlCacheGroup
0000002B	76220504	FindNextUrlCacheContainerA
0000002C	7625C761	FindNextUrlCacheContainerW
0000002D	76220FB4	FindNextUrlCacheEntryA
0000002E	7625BAD9	FindNextUrlCacheEntryExA
0000002F	762296F0	FindNextUrlCacheEntryExW
00000030	762296D7	FindNextUrlCacheEntryW
00000031	7625C9B5	FindNextUrlCacheGroup
00000032	76240447	ForceNexusLookup
00000033	7624040F	ForceNexusLookupExW
00000034	7625BB3D	FreeUrlCacheSpaceA
00000035	7625C1A1	FreeUrlCacheSpaceW
00000036	76248979	FtpCommandA
00000037	7624A2EC	FtpCommandW
00000038	762482D1	FtpCreateDirectoryA
00000039	76249FEA	FtpCreateDirectoryW
0000003A	76247F3F	FtpDeleteFileA
0000003B	76249D43	FtpDeleteFileW
0000003C	76249930	FtpFindFirstFileA
0000003D	76249C45	FtpFindFirstFileW
0000003E	762487D7	FtpGetCurrentDirectoryA
0000003F	7624A1F4	FtpGetCurrentDirectoryW
00000040	76247450	FtpGetFileA
00000041	7624AA06	FtpGetFileEx
00000042	76248B99	FtpGetFileSize
00000043	7624A3C1	FtpGetFileW
00000044	7624994F	FtpOpenFileA
00000045	76249F34	FtpOpenFileW
00000046	7624755F	FtpPutFileA
00000047	7624AA7D	FtpPutFileEx
00000048	7624A6E2	FtpPutFileW
00000049	7624848E	FtpRemoveDirectoryA
0000004A	7624A09A	FtpRemoveDirectoryW
