Non-resident
Ordinal	Non-resident (Exported Functions)
0000	BSD Socket API for Windows
0013	SEND
0005	GETPEERNAME
0038	GETSERVBYPORT
0068	WSAASYNCGETPROTOBYNUMBER
000F	NTOHS
000E	NTOHL
000C	IOCTLSOCKET
0016	SHUTDOWN
006D	WSASETBLOCKINGHOOK
000B	INET_NTOA
0002	BIND
000A	INET_ADDR
0070	WSASETLASTERROR
006F	WSAGETLASTERROR
0010	RECV
0003	CLOSESOCKET
0037	GETSERVBYNAME
006C	WSACANCELASYNCREQUEST
0066	WSAASYNCGETHOSTBYADDR
0065	WSAASYNCSELECT
0034	GETHOSTBYNAME
0039	GETHOSTNAME
0073	WSASTARTUP
0009	HTONS
0008	HTONL
0001	ACCEPT
0071	WSACANCELBLOCKINGCALL
0011	RECVFROM
0036	GETPROTOBYNUMBER
0069	WSAASYNCGETPROTOBYNAME
0074	WSACLEANUP
006A	WSAASYNCGETSERVBYPORT
0072	WSAISBLOCKING
0006	GETSOCKNAME
0015	SETSOCKOPT
0007	GETSOCKOPT
0004	CONNECT
0067	WSAASYNCGETHOSTBYNAME
0017	SOCKET
000D	LISTEN
0012	SELECT
006E	WSAUNHOOKBLOCKINGHOOK
0014	SENDTO
0033	GETHOSTBYADDR
006B	WSAASYNCGETSERVBYNAME
0097	__WSAFDISSET
0035	GETPROTOBYNAME

